,ID,Timestamp,Tweet URL,Keywords,Account handle,Account name,Account type,Joined,Following,Followers,Tweet,Tweet Translated,Tweet Length,Tweet Type,Date posted,Content type,Likes,Replies,Retweets,Theme,Stemmed,Lemmatized
10,10-11,29/03/23 23:36:08,https://twitter.com/jojo_castaneda/status/1383438261092110348?s=20,Ivermectin works Philippines,@jojo_castaneda,Jojo Castaneda,Identified,05/17,1153,422,"@Drbeen123
  we in the Philippines 🇵🇭 have been researching on Ivermectin since last year WE KNOW IT WORKS but our own DOH & FDA are ignorant on Ivermectin ! Please help and widen their knowledge on the science of Ivermectin!",Drbeen123  we in the Philippines 🇵🇭 have been researching on Ivermectin since last year WE KNOW IT WORKS but our own DOH & FDA are ignorant on Ivermectin  Please help and widen their knowledge on the science of Ivermectin,227,"Text, Reply",17/04/21 23:12,Emotional,0,0,0,1,"['drbeen123', 'philippin', '🇵🇭', 'research', 'ivermectin', 'sinc', 'last', 'year', 'we', 'know', 'it', 'work', 'doh', '&', 'fda', 'ignor', 'ivermectin', 'pleas', 'help', 'widen', 'knowledg', 'scienc', 'ivermectin']","['drbeen123', 'philippine', '🇵🇭', 'researching', 'ivermectin', 'since', 'last', 'year', 'we', 'know', 'it', 'work', 'doh', '&', 'fda', 'ignorant', 'ivermectin', 'please', 'help', 'widen', 'knowledge', 'science', 'ivermectin']"
11,10-12,29/03/23 23:45:37,https://twitter.com/jojo_castaneda/status/1379211380855730176?s=20,Ivermectin works Philippines,@jojo_castaneda,Jojo Castaneda,Identified,05/18,1153,422,"Dr Rabindra Abetqsinghe -WHO representative in the Philippines is part of the syndicate of the Big Pharmas in the world !

He says to leave it to the scientist. !

Here you can see 375 scientist are saying that ivermectin works
Image

{Alt-text image: Photo of study results showing improvements in randomized controlled trials regarding Ivermectin for COVID-19}",Dr Rabindra Abetqsinghe -WHO representative in the Philippines is part of the syndicate of the Big Pharmas in the world He says to leave it to the scientist Here you can see 375 scientist are saying that ivermectin worksImage,362,"Text, Image",06/04/21 07:16,Rational,1,0,0,1,"['dr', 'rabindra', 'abetqsingh', '-who', 'repres', 'philippin', 'part', 'syndic', 'big', 'pharma', 'world', 'he', 'say', 'leav', 'scientist', 'here', 'see', '375', 'scientist', 'say', 'ivermectin', 'worksimag']","['dr', 'rabindra', 'abetqsinghe', '-who', 'representative', 'philippine', 'part', 'syndicate', 'big', 'pharma', 'world', 'he', 'say', 'leave', 'scientist', 'here', 'see', '375', 'scientist', 'saying', 'ivermectin', 'worksimage']"
12,10-13,29/03/23 23:47:13,https://twitter.com/jojo_castaneda/status/1377378758512930817?s=20,Ivermectin works Philippines,@jojo_castaneda,Jojo Castaneda,Identified,05/19,1153,422,"IATF - means It’s A Total Failure 

The expert Dr Mobeen Syed answered this question & is saying if the Philippines 🇵🇭 health dept is stubborn or not well informed they can review the clinical trials again ... YouTube search - Ivermectin works and the data is there Dr Mobeen said

{Alt-text image: One image of YouTuber viewer's comment expressing disappointment in not being able to have Ivermectin as a treatment option for COVID-19; Another photo of study results showing improvements in randomized controlled trials regarding Ivermectin for COVID-19}",IATF - means It’s A Total Failure The expert Dr Mobeen Syed answered this question & is saying if the Philippines 🇵🇭 health dept is stubborn or not well informed they can review the clinical trials again  YouTube search - Ivermectin works and the data is there Dr Mobeen said,557,"Text, Image, Reply",01/04/21 05:54,Emotional,1,0,1,1,"['iatf', '-', 'mean', 'it', '’', 'a', 'total', 'failur', 'the', 'expert', 'dr', 'mobeen', 'sy', 'answer', 'question', '&', 'say', 'philippin', '🇵🇭', 'health', 'dept', 'stubborn', 'well', 'inform', 'review', 'clinic', 'trial', 'youtub', 'search', '-', 'ivermectin', 'work', 'data', 'dr', 'mobeen', 'said']","['iatf', '-', 'mean', 'it', '’', 'a', 'total', 'failure', 'the', 'expert', 'dr', 'mobeen', 'syed', 'answered', 'question', '&', 'saying', 'philippine', '🇵🇭', 'health', 'dept', 'stubborn', 'well', 'informed', 'review', 'clinical', 'trial', 'youtube', 'search', '-', 'ivermectin', 'work', 'data', 'dr', 'mobeen', 'said']"
13,10-14,30/03/23 12:39:33,https://twitter.com/EzekielThree3/status/1408785171071979523?s=20,Ivermectin works Philippines,@EzekielThree3,Ezekiel ThirtyThree,Anonymous,12/10,387,139,"Thank you doc @iggyagbayani
 we watched your zoom interview with Ka Anton. Thank you for your courage. Maraming salamat po! Ivermectin works. Laban Philippines! Ipagpatuloy nio po. May God bless you and protect you always.",Thank you doc iggyagbayani we watched your zoom interview with Ka Anton Thank you for your courage Many thanks Ivermectin works Philippines Fight Continue with it May God bless you and protect you always,222,Text,26/06/21 21:52,Emotional,1,0,0,1,"['thank', 'doc', 'iggyagbayani', 'watch', 'zoom', 'interview', 'ka', 'anton', 'thank', 'courag', 'mani', 'thank', 'ivermectin', 'work', 'philippin', 'fight', 'continu', 'may', 'god', 'bless', 'protect', 'alway']","['thank', 'doc', 'iggyagbayani', 'watched', 'zoom', 'interview', 'ka', 'anton', 'thank', 'courage', 'many', 'thanks', 'ivermectin', 'work', 'philippine', 'fight', 'continue', 'may', 'god', 'bless', 'protect', 'always']"
14,10-15,30/03/23 12:44:25,https://twitter.com/EzekielThree3/status/1407267610341744646?s=20,Ivermectin works Philippines,@EzekielThree3,Ezekiel ThirtyThree,Anonymous,12/11,387,139,Massive cover up and denial that Ivermectin works including here in the Philippines.,Massive cover up and denial that Ivermectin works including here in the Philippines,84,"Text, Reply",22/06/21 17:21,Rational,0,0,0,2,"['massiv', 'cover', 'denial', 'ivermectin', 'work', 'includ', 'philippin']","['massive', 'cover', 'denial', 'ivermectin', 'work', 'including', 'philippine']"
15,10-16,30/03/23 12:46:18,https://twitter.com/EzekielThree3/status/1407285072810496012?s=20,Ivermectin works Philippines,@EzekielThree4,Ezekiel ThirtyThree,Anonymous,12/12,387,139,"Thank you for your courage Doc! 
Ivermectin works and Philippines needs to listen now! https://t.co/0N9IoTdmvw",Thank you for your courage Doc Ivermectin works and Philippines needs to listen now https://tco/0N9IoTdmvw,110,"Text, URL, Reply",22/06/21 18:31,Emotional,0,0,0,1,"['thank', 'courag', 'doc', 'ivermectin', 'work', 'philippin', 'need', 'listen', 'httpsskeptical_annoyed_undecided_uneasy_or_hesitant/tco/0n9iotdmvw']","['thank', 'courage', 'doc', 'ivermectin', 'work', 'philippine', 'need', 'listen', 'httpsskeptical_annoyed_undecided_uneasy_or_hesitant/tco/0n9iotdmvw']"
16,10-17,30/03/23 12:52:36,https://twitter.com/zelformilles/status/1429798665829289988,Ivermectin gumaling,@zelformilles,Eleizl Custodio,Identified,07/17,84,176,YES TO IVERMECTIN! Huwag makinig sa mga doctor quack quack na kontrolado ng wHo! Talagang walang balak ang mga yan gumaling ang mga tao!Kaya lahat ng katotohanan iipitin at babaligtarin nila! Ang wHo kontrolado ng mgaKillerGlobalists!wag na umasa sa kanila,YES TO IVERMECTIN Don't listen to the doctor quack quacks that are controlled by WHO They really do not intend for people to get better That is why all they will twist and turn all truths WHO controls the KillerGlobalists Do not count on them,256,"Text, URL",23/08/21 21:32,Emotional,0,1,0,2,"['ye', 'to', 'ivermectin', 'do', ""n't"", 'listen', 'doctor', 'quack', 'quack', 'control', 'who', 'they', 'realli', 'intend', 'peopl', 'get', 'better', 'that', 'twist', 'turn', 'truth', 'who', 'control', 'killerglobalist', 'do', 'count']","['yes', 'to', 'ivermectin', 'do', ""n't"", 'listen', 'doctor', 'quack', 'quack', 'controlled', 'who', 'they', 'really', 'intend', 'people', 'get', 'better', 'that', 'twist', 'turn', 'truth', 'who', 'control', 'killerglobalists', 'do', 'count']"
17,10-18,30/03/23 12:59:16,https://twitter.com/zelformilles/status/1429825912976019460,Ivermectin gumaling,@zelformilles,Eleizl Custodio,Identified,07/18,84,176,"Nagka-covid sya, uminom sya ng Ivermectin, gumaling siya! May solusyon, ayaw lang ng mgadoctors quack quack sa mundo na malaman ng tao ang totoong solusyon, kasi nga meron silang ibang agenda, ang Depopulation! Need na ng mga globalists bawasan mga tao sa mundo...thru vaccines!⚠️

{Alt-text image: Four screenshots of Facebook posts about anti-vaccination sentiments}",They got covid they took Ivermectin they got better There is a solution the doctor quack quacks of the world just do not want the people to know the real solution because they do have a different agenda which is depopulation Globalists need to lessen the population through vaccines ⚠️,368,"Text, Image",23/08/21 23:20,Emotional,0,1,0,0,"['they', 'got', 'covid', 'took', 'ivermectin', 'got', 'better', 'there', 'solut', 'doctor', 'quack', 'quack', 'world', 'want', 'peopl', 'know', 'real', 'solut', 'differ', 'agenda', 'depopul', 'globalist', 'need', 'lessen', 'popul', 'vaccin', 'warning️']","['they', 'got', 'covid', 'took', 'ivermectin', 'got', 'better', 'there', 'solution', 'doctor', 'quack', 'quack', 'world', 'want', 'people', 'know', 'real', 'solution', 'different', 'agenda', 'depopulation', 'globalists', 'need', 'lessen', 'population', 'vaccine', 'warning️']"
18,10-19,30/03/23 13:05:40,https://twitter.com/zelformilles/status/1430422166546178051,Ivermectin gumaling,@zelformilles,Eleizl Custodio,Identified,07/19,84,176,"Lord, iligtas Niyo po kaming lahat na mga Filipino sa Department of Hellth at sa mga doctors quack quack na naglipana sa Pilipinas! Pati sa mga taong may kontrol sa kanila! At pati na rin sa mga leaders ng bansa namin na hanggang ngayon ay mga tulog pa sa katotohanan 👶👨‍👩‍👧‍👦❌💉☠🙏🏻

{Alt-text image: Two screenshots of a Facebook post and its comments that are against the RT-PCR test for COVID-19}",Lord save us Filipinos from the Department of Health and from the doctor quack quacks that span the Philippines Even the people that have control of them And even the leaders of our country that until now are still not minding the truth 👶👨‍👩‍👧‍👦❌💉☠🙏🏻,406,"Text, Image",25/08/21 14:49,Emotional,0,0,0,1,"['lord', 'save', 'us', 'filipino', 'depart', 'health', 'doctor', 'quack', 'quack', 'span', 'philippin', 'even', 'peopl', 'control', 'and', 'even', 'leader', 'countri', 'still', 'mind', 'truth', 'babyman\u200dwoman\u200dgirl\u200dboycross_marksyringeskull_and_crossbonesfolded_handslight_skin_ton']","['lord', 'save', 'u', 'filipino', 'department', 'health', 'doctor', 'quack', 'quack', 'span', 'philippine', 'even', 'people', 'control', 'and', 'even', 'leader', 'country', 'still', 'minding', 'truth', 'babyman\u200dwoman\u200dgirl\u200dboycross_marksyringeskull_and_crossbonesfolded_handslight_skin_tone']"
19,10-20,30/03/23 13:50:15,https://twitter.com/TitoTorj/status/1524970602205188096,Ivermectin gumaling,@TitoTorj,StepDad,Anonymous,08/18,2369,855,yan na ginagamit sa ospital. madami ng gumaling sa covid using ivermectin,That is what is used in the hospital Many got better from covid using ivermectin,73,Text,13/05/22 12:31,Rational,0,1,0,0,"['that', 'use', 'hospit', 'mani', 'got', 'better', 'covid', 'use', 'ivermectin']","['that', 'used', 'hospital', 'many', 'got', 'better', 'covid', 'using', 'ivermectin']"
20,10-21,30/03/23 13:54:17,https://twitter.com/seddasa/status/1447265429177737220,Ivermectin gumaling,@seddasa,sed dasa,Identified,04/09,980,123,Yes covid positive lahat...marami silang covid positive na gumaling lahat sa Ivermectin,Yes everyone was covid positive many covid positive people all got better from Ivermectin,87,"Text, Reply",11/10/21 02:19,Rational,0,0,0,0,"['ye', 'everyon', 'covid', 'posit', 'mani', 'covid', 'posit', 'peopl', 'got', 'better', 'ivermectin']","['yes', 'everyone', 'covid', 'positive', 'many', 'covid', 'positive', 'people', 'got', 'better', 'ivermectin']"
21,10-22,30/03/23 13:57:59,https://twitter.com/SubitoGrace/status/1438753265496166401,Ivermectin gumaling,@SubitoGrace,GraceS,Anonymous,07/20,93,1,Dami ng claims na gumaling sila agad with ivermectin but of course doh won't listen.. Wala nga namang kickback dyan.. While sa vaccine..haaay buhay..,There are many claims that they got better immediately with ivermectin but of course doh won't listen We have no kickback there While with vaccines haaay buhay,149,"Text, Reply",17/09/21 14:34,Emotional,0,0,0,0,"['there', 'mani', 'claim', 'got', 'better', 'immedi', 'ivermectin', 'cours', 'doh', 'wo', ""n't"", 'listen', 'we', 'kickback', 'while', 'vaccin', 'haaay', 'buhay']","['there', 'many', 'claim', 'got', 'better', 'immediately', 'ivermectin', 'course', 'doh', 'wo', ""n't"", 'listen', 'we', 'kickback', 'while', 'vaccine', 'haaay', 'buhay']"
22,10-23,30/03/23 14:01:17,https://twitter.com/shiningtwicexo/status/1438687471370309638,Ivermectin gumaling,@shiningtwicexo,✌👊🚫,Anonymous,04/10,3976,3468,Sarili lang kasi ang iniisip nila Duque at Domingo kasi nangmamatigas when it comes to Ivermectin. Eh di nila pinakinggan yung mga testimonies mula sa ating mga kababayan na paano sila gumaling sa COVID19 gamit ang Ivermectin plus those lots of studies na mabisa ito.,Duque and Domingo only think about themselves because they are obstinating when it comes to Ivermectin But they do not listen to the testimonites from our countrymen about how they got better from COVID19 using Ivermectin plus those lots of studies that show it is effective,267,Text,17/09/21 10:13,"Rational, Emotional",2,0,0,1,"['duqu', 'domingo', 'think', 'obstin', 'come', 'ivermectin', 'but', 'listen', 'testimonit', 'countrymen', 'got', 'better', 'covid19', 'use', 'ivermectin', 'plu', 'lot', 'studi', 'show', 'effect']","['duque', 'domingo', 'think', 'obstinating', 'come', 'ivermectin', 'but', 'listen', 'testimonites', 'countryman', 'got', 'better', 'covid19', 'using', 'ivermectin', 'plus', 'lot', 'study', 'show', 'effective']"
23,10-24,30/03/23 14:04:44,https://twitter.com/mahalngdyos/status/1438675384828973058,Ivermectin gumaling,@mahalngdyos,marietta,Anonymous,09/16,486,441,Wala tayong magagawa kung maraming nagka covid na gumaling sa Ivermectin. Sa panahon ngayon lahat gagawin para gumaling sa virus na ito!! Fyi mga doctors din ang my studies nito and found it effective base on clinical studies and testemonies of many patients.,We cannot do anything if many who got covid got better from Ivermectin These days everything will be done to get better from this virus For your information many doctors also have studies about it and found it effective based on clinical studies and testimonies of many patients,259,"Text, Reply",17/09/21 09:25,"Rational, Emotional",2,0,0,1,"['we', 'anyth', 'mani', 'got', 'covid', 'got', 'better', 'ivermectin', 'these', 'day', 'everyth', 'done', 'get', 'better', 'viru', 'for', 'inform', 'mani', 'doctor', 'also', 'studi', 'found', 'effect', 'base', 'clinic', 'studi', 'testimoni', 'mani', 'patient']","['we', 'anything', 'many', 'got', 'covid', 'got', 'better', 'ivermectin', 'these', 'day', 'everything', 'done', 'get', 'better', 'virus', 'for', 'information', 'many', 'doctor', 'also', 'study', 'found', 'effective', 'based', 'clinical', 'study', 'testimony', 'many', 'patient']"
24,10-25,30/03/23 14:08:06,https://twitter.com/zelformilles/status/1434409535372857347,Ivermectin gumaling,@zelformilles,Eleizl Custodio,Identified,07/19,84,176,"inumin nyo palagi tanggal agad ang virus. Kung wala, kahit anong TSAA inumin nyo palagi gang sa umayos ang pakiramdam nyo. O kung kaya nyo makabili sa botika ng IVERMECTIN mas maigi, inumin nyo gang sa gumaling kayo, yun ang gamot sa covid pneumonia at kung ano-ano pang mga virus",Always drink and the virus will be immediately gone If not you can drink any tea always so that your health will get better that is the cure to covid pneumonia and other viruses,280,"Text, Reply",05/09/21 14:54,Emotional,1,0,0,2,"['alway', 'drink', 'viru', 'immedi', 'gone', 'if', 'drink', 'tea', 'alway', 'health', 'get', 'better', 'cure', 'covid', 'pneumonia', 'virus']","['always', 'drink', 'virus', 'immediately', 'gone', 'if', 'drink', 'tea', 'always', 'health', 'get', 'better', 'cure', 'covid', 'pneumonia', 'virus']"
25,10-26,30/03/23 14:21:42,https://twitter.com/zelformilles/status/1424987294549696514,Ivermectin gumaling,@zelformilles,Eleizl Custodio,Identified,07/20,84,176,"sa ibang bansa gising na! Nagamit na nila ng husto ang bisa ng Ivermectin, napakarami nang gumaling sa kanila at bumaba na ang death rates and cases sa kanila! Dito Dyus ko po Lord ang pinaguusapan ay yung mga sexy photos nung isa, pwede po ba gisingin Nyo na po sila!🙏🏼",In other countries they are aware They use a lot the effectivity of Ivermectin many of them got better and their death rates and cases lowered Here Dyus ko po Lord what is being talked about is the sexy photos of one please wake them up🙏🏼,272,"Text, Reply",10/08/21 14:53,Emotional,0,0,0,1,"['in', 'countri', 'awar', 'they', 'use', 'lot', 'effect', 'ivermectin', 'mani', 'got', 'better', 'death', 'rate', 'case', 'lower', 'here', 'dyu', 'ko', 'po', 'lord', 'talk', 'sexi', 'photo', 'one', 'pleas', 'wake', 'upfolded_handsmedium-light_skin_ton']","['in', 'country', 'aware', 'they', 'use', 'lot', 'effectivity', 'ivermectin', 'many', 'got', 'better', 'death', 'rate', 'case', 'lowered', 'here', 'dyus', 'ko', 'po', 'lord', 'talked', 'sexy', 'photo', 'one', 'please', 'wake', 'upfolded_handsmedium-light_skin_tone']"
